date_id,currency_code,rate_to_usd
20220406,CAD,1.2494
20220406,EUR,0.9155
20220406,GBP,0.76419
20220406,JPY,123.87
20220406,USD,1
20220407,CAD,1.2554
20220407,EUR,0.91609
20220407,GBP,0.76447
20220407,JPY,123.96
20220407,USD,1
20220408,CAD,1.2591
20220408,EUR,0.92073
20220408,GBP,0.76747
20220408,JPY,124.18
20220408,USD,1
20220409,CAD,1.2591
20220409,EUR,0.92073
20220409,GBP,0.76747
20220409,JPY,124.18
20220409,USD,1
20220410,CAD,1.2591
20220410,EUR,0.92073
20220410,GBP,0.76747
20220410,JPY,124.18
20220410,USD,1
20220411,CAD,1.2604
20220411,EUR,0.91743
20220411,GBP,0.76783
20220411,JPY,125.7
20220411,USD,1
20220412,CAD,1.2636
20220412,EUR,0.92073
20220412,GBP,0.76839
20220412,JPY,125.49
20220412,USD,1
20220413,CAD,1.2655
20220413,EUR,0.9237
20220413,GBP,0.76926
20220413,JPY,125.86
20220413,USD,1
20220414,CAD,1.256
20220414,EUR,0.91929
20220414,GBP,0.76216
20220414,JPY,125.32
20220414,USD,1
20220415,CAD,1.256
20220415,EUR,0.91929
20220415,GBP,0.76216
20220415,JPY,125.32
20220415,USD,1
20220416,CAD,1.256
20220416,EUR,0.91929
20220416,GBP,0.76216
20220416,JPY,125.32
20220416,USD,1
20220417,CAD,1.256
20220417,EUR,0.91929
20220417,GBP,0.76216
20220417,JPY,125.32
20220417,USD,1
20220418,CAD,1.256
20220418,EUR,0.91929
20220418,GBP,0.76216
20220418,JPY,125.32
20220418,USD,1
20220419,CAD,1.2618
20220419,EUR,0.92567
20220419,GBP,0.76789
20220419,JPY,128.11
20220419,USD,1
20220420,CAD,1.2538
20220420,EUR,0.92336
20220420,GBP,0.76607
20220420,JPY,127.91
20220420,USD,1
20220421,CAD,1.2492
20220421,EUR,0.91853
20220421,GBP,0.76718
20220421,JPY,128.24
20220421,USD,1
20220422,CAD,1.2678
20220422,EUR,0.92447
20220422,GBP,0.77586
20220422,JPY,128.34
20220422,USD,1
20220423,CAD,1.2678
20220423,EUR,0.92447
20220423,GBP,0.77586
20220423,JPY,128.34
20220423,USD,1
20220424,CAD,1.2678
20220424,EUR,0.92447
20220424,GBP,0.77586
20220424,JPY,128.34
20220424,USD,1
20220425,CAD,1.2757
20220425,EUR,0.93058
20220425,GBP,0.78476
20220425,JPY,128.17
20220425,USD,1
20220426,CAD,1.2753
20220426,EUR,0.93686
20220426,GBP,0.78822
20220426,JPY,127.55
20220426,USD,1
20220427,CAD,1.2824
20220427,EUR,0.94491
20220427,GBP,0.79576
20220427,JPY,128.1
20220427,USD,1
20220428,CAD,1.2874
20220428,EUR,0.95374
20220428,GBP,0.80448
20220428,JPY,130.79
20220428,USD,1
20220429,CAD,1.2738
20220429,EUR,0.94877
20220429,GBP,0.79609
20220429,JPY,129.99
20220429,USD,1
20220430,CAD,1.2738
20220430,EUR,0.94877
20220430,GBP,0.79609
20220430,JPY,129.99
20220430,USD,1
20220501,CAD,1.2738
20220501,EUR,0.94877
20220501,GBP,0.79609
20220501,JPY,129.99
20220501,USD,1
20220502,CAD,1.2885
20220502,EUR,0.95021
20220502,GBP,0.79637
20220502,JPY,129.83
20220502,USD,1
20220503,CAD,1.2855
20220503,EUR,0.94733
20220503,GBP,0.79699
20220503,JPY,129.84
20220503,USD,1
20220504,CAD,1.2817
20220504,EUR,0.94958
20220504,GBP,0.79949
20220504,JPY,129.94
20220504,USD,1
20220505,CAD,1.2758
20220505,EUR,0.94625
20220505,GBP,0.80611
20220505,JPY,129.81
20220505,USD,1
20220506,CAD,1.2829
20220506,EUR,0.94607
20220506,GBP,0.81008
20220506,JPY,130.46
20220506,USD,1
20220507,CAD,1.2829
20220507,EUR,0.94607
20220507,GBP,0.81008
20220507,JPY,130.46
20220507,USD,1
20220508,CAD,1.2829
20220508,EUR,0.94607
20220508,GBP,0.81008
20220508,JPY,130.46
20220508,USD,1
20220509,CAD,1.2933
20220509,EUR,0.94706
20220509,GBP,0.80723
20220509,JPY,130.79
20220509,USD,1
20220510,CAD,1.2987
20220510,EUR,0.94751
20220510,GBP,0.81102
20220510,JPY,130.17
20220510,USD,1
20220511,CAD,1.2968
20220511,EUR,0.9476
20220511,GBP,0.80918
20220511,JPY,129.89
20220511,USD,1
20220512,CAD,1.3037
20220512,EUR,0.9608
20220512,GBP,0.81949
20220512,JPY,128.6
20220512,USD,1
20220513,CAD,1.3004
20220513,EUR,0.96293
20220513,GBP,0.8196
20220513,JPY,128.95
20220513,USD,1
20220514,CAD,1.3004
20220514,EUR,0.96293
20220514,GBP,0.8196
20220514,JPY,128.95
20220514,USD,1
20220515,CAD,1.3004
20220515,EUR,0.96293
20220515,GBP,0.8196
20220515,JPY,128.95
20220515,USD,1
20220516,CAD,1.2927
20220516,EUR,0.95951
20220516,GBP,0.81601
20220516,JPY,129.54
20220516,USD,1
20220517,CAD,1.2823
20220517,EUR,0.94868
20220517,GBP,0.80068
20220517,JPY,129.32
20220517,USD,1
20220518,CAD,1.2818
20220518,EUR,0.9503
20220518,GBP,0.80462
20220518,JPY,129.01
20220518,USD,1
20220519,CAD,1.2817
20220519,EUR,0.95012
20220519,GBP,0.80502
20220519,JPY,127.75
20220519,USD,1
20220520,CAD,1.2788
20220520,EUR,0.94545
20220520,GBP,0.80193
20220520,JPY,127.96
20220520,USD,1
20220521,CAD,1.2788
20220521,EUR,0.94545
20220521,GBP,0.80193
20220521,JPY,127.96
20220521,USD,1
20220522,CAD,1.2788
20220522,EUR,0.94545
20220522,GBP,0.80193
20220522,JPY,127.96
20220522,USD,1
20220523,CAD,1.2784
20220523,EUR,0.93817
20220523,GBP,0.79541
20220523,JPY,127.64
20220523,USD,1
20220524,CAD,1.2793
20220524,EUR,0.93284
20220524,GBP,0.79991
20220524,JPY,127.32
20220524,USD,1
20220525,CAD,1.2875
20220525,EUR,0.93844
20220525,GBP,0.80044
20220525,JPY,127.01
20220525,USD,1
20220526,CAD,1.2821
20220526,EUR,0.93484
20220526,GBP,0.7953
20220526,JPY,127.09
20220526,USD,1
20220527,CAD,1.2741
20220527,EUR,0.93266
20220527,GBP,0.7916
20220527,JPY,126.89
20220527,USD,1
20220528,CAD,1.2741
20220528,EUR,0.93266
20220528,GBP,0.7916
20220528,JPY,126.89
20220528,USD,1
20220529,CAD,1.2741
20220529,EUR,0.93266
20220529,GBP,0.7916
20220529,JPY,126.89
20220529,USD,1
20220530,CAD,1.2678
20220530,EUR,0.92902
20220530,GBP,0.79106
20220530,JPY,127.51
20220530,USD,1
20220531,CAD,1.267
20220531,EUR,0.93345
20220531,GBP,0.79472
20220531,JPY,128.22
20220531,USD,1
20220601,CAD,1.2636
20220601,EUR,0.93353
20220601,GBP,0.79498
20220601,JPY,129.46
20220601,USD,1
20220602,CAD,1.2645
20220602,EUR,0.93528
20220602,GBP,0.79681
20220602,JPY,129.74
20220602,USD,1
20220603,CAD,1.2567
20220603,EUR,0.93197
20220603,GBP,0.79609
20220603,JPY,130.09
20220603,USD,1
20220604,CAD,1.2567
20220604,EUR,0.93197
20220604,GBP,0.79609
20220604,JPY,130.09
20220604,USD,1
20220605,CAD,1.2567
20220605,EUR,0.93197
20220605,GBP,0.79609
20220605,JPY,130.09
20220605,USD,1
20220606,CAD,1.2552
20220606,EUR,0.93231
20220606,GBP,0.79634
20220606,JPY,130.67
20220606,USD,1
20220607,CAD,1.2603
20220607,EUR,0.93791
20220607,GBP,0.80065
20220607,JPY,132.86
20220607,USD,1
20220608,CAD,1.254
20220608,EUR,0.93119
20220608,GBP,0.79686
20220608,JPY,134.02
20220608,USD,1
20220609,CAD,1.2572
20220609,EUR,0.93084
20220609,GBP,0.79729
20220609,JPY,133.98
20220609,USD,1
20220610,CAD,1.2747
20220610,EUR,0.94536
20220610,GBP,0.80401
20220610,JPY,133.95
20220610,USD,1
20220611,CAD,1.2747
20220611,EUR,0.94536
20220611,GBP,0.80401
20220611,JPY,133.95
20220611,USD,1
20220612,CAD,1.2747
20220612,EUR,0.94536
